かいせん,會戰,名詞
かいすいじゅんめん,海水準面,名詞
がいしゅつしょうめいしょ,外出證明書,名詞
がいしゅつしょう,外出證,名詞
がいこくちゅうざいいん,外國駐在員,名詞
かいげんちきょう,戒嚴地境,名詞
かいげんち,戒嚴地,名詞
かいげん,戒嚴,名詞
かいげんち,戒厳地,名詞
かいかつち,開轄地,名詞
おりしけ,折敷,名詞
おうようたいけい,應用隊形,名詞
きょうかん,敎官,名詞
きょうかたい,敎化隊,名詞
きょうかそつ,敎化卒,名詞
きょういくしょうしゅう,敎育召集,名詞
きょういくじゅんじひょう,敎育順次表,名詞
けんえつ,檢閲,名詞
きょういくけんえつ,敎育檢閲,名詞
きゅうよ,給與,名詞
きゅうよひん,給與品,名詞
きゅうぼく,穹木,名詞
きゅうふ,丘阜,名詞
きゅうぞうどうろ,急造道路,名詞
きゅうせん,休戰,名詞
きゅうしゃぐ,厩舎具,名詞
きゅうしゃ,急射,名詞
きほうへい,騎砲兵,名詞
ぎへんどうさ,欺騙動作,名詞
がっこう,學校,名詞
きへいがっこう,騎兵學校,名詞
ぎへい,僞兵,名詞
きと,企圖,名詞
きてんしゃ,起點者,名詞
きちきょり,?知距離,名詞
きち,?知,名詞
ぎそう,僞裝,名詞
きせんそくず,基線測圖,名詞
ぎせいだん,擬製彈,名詞
きせい,歸省,名詞
ぎじょうふくむ,儀仗服務,名詞
きしょうせん,騎哨線,名詞
きしょうけい,騎小徑,名詞
きしょうかんそくしゅ,氣象觀測手,名詞
ぎじょうえいへい,儀仗衛兵,名詞
しょう,哨,名詞
きしょう,騎哨,名詞
きざ,騎坐,名詞
げんせいちゅうりつ,嚴正中立,名詞
げんすいとう,元帥刀,名詞
げんすいきしょう,元帥徽章,名詞
けんしん,劍身,名詞
けんしょう,懸章,名詞
けんさ,檢査,名詞
げんえきまんき,現役滿期,名詞
げんえきていげんねんれい,現役定限年齡,名詞
けんえきしょ,檢疫所,名詞
けっちゃく,結著,名詞
ちゃく,著,名詞
けっせん,決戰,名詞
けつご,缺伍,名詞
げきはつそうち,撃發裝置,名詞
げきはつ,撃發,名詞
けいてんしゃげき,競點射撃,名詞
けいろ,經路,名詞
けいれい,敬禮,名詞
けいりぶ,經理部,名詞
けいりゅうききゅう,繋留氣球,名詞
けいりがっこう,經理學校,名詞
けいばさく,繋馬索,名詞
けいたいばりょう,携帯馬糧,名詞
けいしょう,敬稱,名詞
けいし,經始,名詞
けいくん,繋皹,名詞
けいききゅう,輕氣球,名詞
けいきかんじゅうぶんたい,輕機關銃分隊,名詞
けいきかんじゅう,輕機關銃,名詞
けいきゅうしゃえい,警急舎營,名詞
けいかじかん,經過時間,名詞
けいえいそう,輕營倉,名詞
くんろ,勲勞,名詞
ぐんろ,軍路,名詞
ぐんようぶっそんかいのつみ,軍用物損壊の罪,名詞
ぐんぽうかいぎ,軍法會議,名詞
ぐんたいふごう,軍隊符號,名詞
ぐんたいてちょう,軍隊手牒,名詞
ぐんたいきょういく,軍隊敎育,名詞
ぐんぞく,軍屬,名詞
